Emoji,Sentiment
😀,positive
😃,positive
😄,positive
😁,positive
😆,positive
😅,positive
😂,positive
🤣,positive
😊,positive
😇,positive
😍,positive
😘,positive
😗,positive
😙,positive
😚,positive
☺,positive
🙂,positive
🤗,positive
🤩,positive
😋,positive
😛,positive
😜,positive
😝,positive
😎,positive
🥳,positive
😺,positive
😸,positive
😻,positive
🧡,positive
💛,positive
💚,positive
💙,positive
💜,positive
🖤,positive
💕,positive
💞,positive
💓,positive
💗,positive
💖,positive
💘,positive
💝,positive
💟,positive
💌,positive
🥰,positive
😌,positive
🤑,positive
😏,positive
🥳,positive
😼,positive
👍,positive
👌,positive
🙆,positive
🙋,positive
🤦,positive
🤷,positive
🙌,positive
👏,positive
🤝,positive
💃,positive
🕺,positive
🏆,positive
🍻,positive
🍺,positive
🍾,positive
🎉,positive
🎊,positive
🥂,positive
🎈,positive
😐,neutral
😑,neutral
😶,neutral
🙄,neutral
😬,neutral
🤔,neutral
😮,neutral
🤐,neutral
😯,neutral
😦,neutral
😧,neutral
😴,neutral
😪,neutral
🤤,neutral
😵,neutral
🤧,neutral
🤢,neutral
🤮,neutral
🤕,neutral
😷,neutral
🤒,neutral
🤠,neutral
🤡,neutral
🥴,neutral
🤥,neutral
😕,neutral
😔,neutral
🤫,neutral
🤭,neutral
🧐,neutral
🤓,neutral
🧑‍💻,neutral
👤,neutral
👥,neutral
🚶,neutral
🏃,neutral
💼,neutral
🌂,neutral
☂,neutral
🧵,neutral
🪡,neutral
🧶,neutral
👓,neutral
🕶,neutral
🥽,neutral
🥼,neutral
🦺,neutral
👔,neutral
👕,neutral
👖,neutral
🧣,neutral
🧤,neutral
🧥,neutral
🧦,neutral
👗,neutral
👘,neutral
🥻,neutral
🩱,neutral
🩲,neutral
🩳,neutral
👙,neutral
👚,neutral
👛,neutral
👜,neutral
👝,neutral
🛍,neutral
🎒,neutral
🩴,neutral
👞,neutral
👟,neutral
🥾,neutral
🥿,neutral
👠,neutral
👡,neutral
👢,neutral
👑,neutral
👒,neutral
🎩,neutral
🎓,neutral
🧢,neutral
⌚,neutral
📱,neutral
📲,neutral
💻,neutral
⌨,neutral
😞,negative
😟,negative
😠,negative
😡,negative
😔,negative
😣,negative
😖,negative
😫,negative
😩,negative
🥺,negative
😢,negative
😭,negative
😤,negative
😪,negative
😓,negative
😥,negative
😰,negative
😨,negative
😱,negative
😳,negative
🤯,negative
😕,negative
🥵,negative
🥶,negative
😶‍🌫️,negative
😮‍💨,negative
🤬,negative
😧,negative
😦,negative
🤒,negative
🤕,negative
🤢,negative
🤮,negative
🥴,negative
👿,negative
💀,negative
☠,negative
👺,negative
👹,negative
🤡,negative
👻,negative
💩,negative
🤖,negative
👽,negative
👾,negative
🤕,negative
😈,negative
🧛,negative
🧛‍♂️,negative
🧛‍♀️,negative
🧝,negative
🧝‍♂️,negative
🧝‍♀️,negative
🧞,negative
🧞‍♂️,negative
🧞‍♀️,negative
🧟,negative
🧟‍♂️,negative
🧟‍♀️,negative
🔥,negative
🌪,negative
🌈,negative
🌧,negative
⛈,negative
🌩,negative
🌨,negative
❄,negative
🌬,negative
🌫,negative
🌿,negative
🍂,negative
🍃,negative
🍄,negative
🐾,negative
🌾,negative
💐,negative
🌷,negative
🌹,negative
🥀,negative
🌺,negative
🌸,negative
🌼,negative
🌻,negative
